CONTRACT_ID,CLIENT_TYPE_ID,AVG_EUROS_IMPORT,POWER_P1,HAS_GAS,HAS_SOLAR,ZIPCODE
6951,0,132.22,5250.00000,0,1,43203
7507,0,45.43,6400.00000,0,1,08904
1815,0,67.3,4650.00000,0,1,48800
5273,0,110.93,3950.00000,0,0,08205
6079,0,73.46,4100.00000,0,1,08032
1046,0,140.68,4100.00000,0,1,31011
8743,0,66.5,4100.00000,0,1,38003
1456,0,64.39,6150.00000,0,1,46230
2358,0,101.71,4100.00000,0,0,46930
6966,0,116.21,5050.00000,0,0,08860
5386,0,78.29,2950.00000,0,1,08203
7282,0,56.63,3950.00000,0,0,08005
4462,0,61.85,3850.00000,0,0,18670
6571,0,76,5050.00000,0,0,08901
1228,0,50.92,5050.00000,0,0,31001
4030,0,201.3,5050.00000,0,0,41010
7241,0,44.31,4100.00000,0,0,08009
2560,0,88.32,4100.00000,0,0,20009
1682,0,48.84,2950.00000,0,1,46008
6578,0,58.74,3850.00000,0,0,08906
8426,0,198.25,6400.00000,0,1,17600
2491,0,92.84,5250.00000,0,0,28019
2423,3,94.97,11042.00000,0,1,20230
409,0,70.77,4100.00000,0,1,24191
4369,0,178.74,2950.00000,0,1,29649
6035,0,76.99,2950.00000,0,0,08016
522,0,148.06,6400.00000,0,1,28794
3552,0,70.1,4100.00000,0,0,28812
4679,0,61.61,3950.00000,0,1,18003
2387,0,51.11,2950.00000,0,1,05690
440,0,29.01,4100.00000,0,0,26200
8484,0,175.8,4100.00000,0,0,07015
5069,0,58.3,5250.00000,0,0,50015
8824,0,102.6,6400.00000,0,1,27004
4565,3,1094.33,13814.00000,0,1,29660
4897,0,54.35,3250.00000,0,1,29730
2248,0,130.81,5150.00000,0,0,19005
3535,0,54.5,4050.00000,0,1,45221
4721,0,216.68,11042.00000,0,1,29649
1236,0,86.46,4100.00000,0,0,31015
6219,0,97.43,5050.00000,0,0,08870
1715,0,60.25,3350.00000,0,0,48901
6132,0,98.82,3350.00000,0,0,08038
2729,0,43.71,3950.00000,0,0,36770
1118,0,36.61,2950.00000,0,1,31011
1184,0,62.98,2850.00000,0,0,31001
3912,0,46.4,5846.00000,0,1,23700
645,0,84.38,4100.00000,0,0,28026
4662,0,70.22,6150.00000,0,0,18197
1673,0,91.61,3650.00000,0,1,46013
8255,0,83.63,4450.00000,0,0,08902
1072,1,38.32,2850.00000,0,1,31011
7392,0,118.04,6400.00000,0,1,17310
5810,1,241.7,7650.00000,0,0,08016
2259,0,62.64,4150.00000,0,0,09006
3525,0,93.3,6400.00000,0,0,28810
8434,0,83.44,5050.00000,0,0,08519
8189,1,102.18,7550.00000,0,1,08002
2185,0,61.37,2950.00000,0,0,48930
2704,0,72.64,3350.00000,0,0,15010
681,0,63.02,3950.00000,0,0,28029
3540,0,76.52,5250.00000,0,0,45223
3102,0,72.95,4850.00000,0,1,28033
6163,0,43.24,4100.00000,0,0,08903
6536,0,40.72,4100.00000,0,0,17528
4962,0,103.42,5350.00000,0,0,41007
5803,0,43.44,3950.00000,0,1,08030
3901,0,257.35,7650.00000,0,1,23170
6228,0,90.88,4350.00000,0,0,08720
1002,0,26.39,2850.00000,0,0,31580
8075,0,114.19,5250.00000,0,0,08520
6949,0,140.7,6150.00000,0,1,08780
7490,0,125.97,6400.00000,0,1,17412
5240,0,31.73,3950.00000,0,0,50619
1368,0,40.72,4100.00000,0,0,31300
4880,1,65.29,4100.00000,0,0,18211
3631,0,116.45,3650.00000,0,1,28026
7947,0,38.97,3950.00000,0,0,17300
5020,0,53.65,5050.00000,0,1,50015
1462,0,122.7,4100.00000,0,1,46910
2137,0,47.83,4100.00000,0,0,03181
616,0,54.64,2950.00000,0,1,28025
4179,0,91.53,4150.00000,0,0,41015
3712,0,79.25,4100.00000,0,0,33867
4110,0,70.8,2850.00000,0,1,41470
1420,0,29.74,3950.00000,0,0,45910
4343,0,117.38,4100.00000,0,0,29100
1610,0,57.7,4100.00000,0,0,46019
6113,0,198,7250.00000,0,1,08007
2103,1,31.18,2950.00000,0,0,12540
4613,0,598.86,7050.00000,0,0,29100
4170,0,47.86,4100.00000,0,0,41004
2946,0,76.85,5050.00000,0,0,28045
7439,0,41.39,4100.00000,0,0,17251
6645,0,59.05,5250.00000,0,0,43716
6681,0,55.52,3650.00000,0,0,43713
1216,0,63.02,5050.00000,0,1,31005
7313,0,43.39,4850.00000,0,0,08022
7452,1,107.86,7550.00000,0,1,17246
6540,0,191,5250.00000,0,0,08901
5496,3,151.74,6650.00000,0,1,08360
1860,0,423.4,6400.00000,0,1,03710
7765,0,28.44,2850.00000,0,0,43700
2356,0,46.55,4100.00000,0,0,01015
8033,0,52.95,6400.00000,0,1,17539
4401,1,34.9,5250.00000,0,1,18009
3318,1,31.75,2950.00000,0,0,28003
7321,0,55.62,2950.00000,0,0,08014
3419,0,33.33,3950.00000,0,0,16145
6417,0,112.4,4100.00000,0,0,08037
6906,0,48.73,3450.00000,0,0,08800
7273,1,149.88,10650.00000,0,0,08005
3971,0,76.45,8650.00000,0,1,11310
4512,0,103.9,6400.00000,0,0,18003
6346,0,89.42,2850.00000,0,0,43840
5108,0,44.27,3950.00000,0,1,50299
3479,0,32.26,4100.00000,0,0,13150
8021,0,32.14,6150.00000,0,0,08904
78,0,67.55,3950.00000,0,0,03540
2778,0,31.89,4100.00000,0,1,13345
2763,0,40.95,2850.00000,0,0,32710
3562,0,98.87,2950.00000,0,1,40592
2244,0,76.27,4100.00000,0,0,02006
5586,0,35.25,5250.00000,0,0,08224
6472,0,28.77,3950.00000,0,0,43717
6942,0,34.23,2950.00000,0,0,25726
3909,0,32.95,2650.00000,0,0,23400
3172,0,104.33,2375.00000,0,0,28017
7734,0,93.97,4050.00000,0,0,08755
6761,0,122.7,3950.00000,0,0,43004
144,0,133.58,2950.00000,0,0,03700
2490,0,99.74,4050.00000,0,0,28019
1155,0,293.78,6400.00000,0,1,31005
5103,0,102.55,2950.00000,0,0,44002
2126,0,102.68,6400.00000,0,1,03316
1469,0,65.81,4100.00000,0,0,46910
3547,0,144.61,5250.00000,0,0,45223
7656,0,54.18,5250.00000,0,1,25002
1829,0,39.88,3950.00000,0,0,49013
3506,0,46.81,4050.00000,0,0,45910
746,0,102.28,4100.00000,0,0,28026
1967,0,65.83,2950.00000,0,1,48200
6532,0,73.24,2950.00000,0,0,08902
4634,0,105.18,4050.00000,0,1,04740
5348,0,198.44,5250.00000,0,1,08224
7030,1,209.1,7578.00000,0,1,08034
7612,0,27.88,2375.00000,0,0,08901
4611,0,42.77,2950.00000,0,1,29566
5809,0,70.61,4100.00000,0,0,08016
1249,0,73.43,4100.00000,0,0,31011
391,0,194.09,8700.00000,0,1,20240
8223,0,56.55,4100.00000,0,1,08293
3354,0,41.78,5250.00000,0,0,28018
7438,0,60.05,10550.00000,0,1,17252
6581,0,63.55,5250.00000,0,0,08904
8159,0,175.39,5250.00000,0,0,08041
1260,0,42,2950.00000,0,0,31005
4072,0,61.39,3950.00000,0,0,41449
4801,0,87.97,5250.00000,0,0,29639
5255,0,84.94,3950.00000,0,0,08100
1109,0,45.55,2850.00000,0,0,31006
380,1,93.65,2950.00000,0,1,20002
68,0,102.44,3950.00000,0,0,03016
